	id	key	label	domain	nes	num_domains
897	897	EDC3	844	3	2.1079089161026174	2.0
898	898	STRA6	3097	3	2.777913784532106	2.0
899	899	BTG2	3096	3	2.777913784532106	2.0
900	900	WDR83	3095	3	2.1958066970316144	2.0
901	901	EDC4	843	3	1.3116394627426142	2.0
902	902	RPAP3	3094	29	5.115912407449061	0.0
903	903	EIF2AK1	842	28	5.783297975362192	0.0
904	904	TBK1	3093	29	5.115912407449061	0.0
905	905	EIF2B1	3092	29	5.115912407449061	0.0
906	906	AZI2	3091	29	5.115912407449061	0.0
907	907	C21orf2	3090	5	6.360181731967901	2.0
908	908	EIF3K	839	5	4.176107660094914	3.0
909	909	MAGEA8	3089	5	6.830232143533106	2.0
910	910	EIF3L	838	5	4.496632359599976	3.0
911	911	TRPM8	3088	5	6.830232143533106	2.0
912	912	SLC9A6	3087	5	6.830232143533106	2.0
913	913	SLC1A3	3086	5	6.830232143533106	2.0
914	914	SLC6A9	3085	5	6.830232143533106	2.0
915	915	ATL2	3084	7	8.069351632948859	7.0
916	916	TMCO1	152	7	5.21172792203484	11.0
917	917	MYLK3	3083	5	6.830232143533106	2.0
918	918	DCUN1D1	3082	5	6.830232143533106	2.0
919	919	C1orf74	3081	5	6.830232143533106	2.0
920	920	TREX2	3080	5	6.830232143533106	2.0
921	921	COPS7A	3079	5	4.800162942978437	2.0
922	922	RLIM	3078	13	5.410556595524318	14.0
923	923	ZNF281	14	13	6.355382149332842	42.0
924	924	BCAS3	3077	2	7.237959391019958	6.0
925	925	ELAVL1	835	2	7.480241895191337	15.0
926	926	ZNF671	3076	2	7.237959391019958	6.0
927	927	DDX21	3075	2	7.237959391019958	6.0
928	928	MAOB	3074	13	3.9406553276020073	24.0
929	929	ELMO2	834	13	5.149268819178193	30.0
930	930	VCX2	3073	13	3.9406553276020073	24.0
931	931	C14orf80	3072	7	9.254740465517141	5.0
932	932	EMC1	832	7	6.6282097927149275	8.0
933	933	DEFB119	3071	7	9.254740465517141	5.0
934	934	ZBED6	3070	7	9.254740465517141	5.0
935	935	MLKL	3069	7	9.254740465517141	5.0
936	936	COASY	3068	26	1.9976361338696724	2.0
937	937	MCMBP	3067	1	24.71935571356802	24.0
938	938	XRCC2	42	1	37.70164676611493	59.0
939	939	CD200R1	3066	7	9.254740465517141	5.0
940	940	ZCCHC9	3065	7	9.254740465517141	5.0
941	941	GPALPP1	3064	7	9.254740465517141	5.0
942	942	ATP6AP2	3063	7	9.254740465517141	5.0
943	943	CTAGE5	3062	7	9.254740465517141	5.0
944	944	GORASP2	3061	7	7.4701012958248345	5.0
945	945	EMC2	833	7	5.636600084641745	10.0
946	946	HPN	3060	7	9.444293104026622	5.0
947	947	EMC3	831	7	7.023525223247082	6.0
948	948	LILRA1	3059	7	9.444293104026622	5.0
949	949	SLFN12	3058	7	9.444293104026622	5.0
950	950	RBM12	3057	7	9.444293104026622	5.0
951	951	MBOAT4	3056	7	9.37994678374194	5.0
952	952	EMC4	830	7	6.866070614913054	7.0
953	953	SYNDIG1	3055	7	9.37994678374194	5.0
954	954	TMEM219	3054	7	9.37994678374194	5.0
955	955	TBATA	3053	7	9.37994678374194	5.0
956	956	USP25	3052	7	9.37994678374194	5.0
957	957	ALOXE3	3051	7	9.37994678374194	5.0
958	958	OTUD7A	3050	7	9.37994678374194	5.0
959	959	CELF6	3049	7	9.37994678374194	5.0
960	960	ATP6V1G1	3048	7	9.37994678374194	5.0
961	961	AASDHPPT	3047	7	9.37994678374194	5.0
962	962	RGS4	3046	7	9.37994678374194	5.0
963	963	SLC8A3	3045	7	9.37994678374194	5.0
964	964	ZNHIT6	3044	7	9.37994678374194	5.0
965	965	PSME1	3043	7	9.37994678374194	5.0
966	966	MFGE8	3042	7	9.37994678374194	5.0
967	967	RNASEH2C	3041	7	9.37994678374194	5.0
968	968	EVI2B	3040	0	-0.0	0.0
969	969	ATP6V1F	3039	7	7.581916750273972	5.0
970	970	EMC6	829	7	5.746006688332371	9.0
971	971	ATP6V0D1	3038	7	7.581916750273972	5.0
972	972	C5AR2	3037	7	9.37994678374194	6.0
973	973	EMC10	825	7	5.723844970186985	10.0
974	974	EIF2AK2	3036	7	9.37994678374194	6.0
975	975	OR10J5	3035	7	9.37994678374194	6.0
976	976	OTOL1	3034	7	9.37994678374194	6.0
977	977	BMP4	3033	7	9.37994678374194	6.0
978	978	RABEP2	3032	7	9.37994678374194	6.0
979	979	ZDHHC20	3031	7	9.37994678374194	6.0
980	980	CLEC5A	3030	7	9.37994678374194	6.0
981	981	NCOA7	3029	7	9.37994678374194	6.0
982	982	WISP1	3028	7	9.37994678374194	6.0
983	983	MAPK3	3027	7	9.37994678374194	6.0
984	984	TRIP10	3026	14	9.610719242013129	18.0
985	985	FOSB	3025	7	9.37994678374194	6.0
986	986	HGF	3024	7	9.37994678374194	6.0
987	987	BLK	3023	7	9.37994678374194	6.0
988	988	P2RY12	3022	18	2.0980895410371905	6.0
989	989	FGF17	3021	7	9.37994678374194	6.0
990	990	SLC10A6	3020	7	9.37994678374194	6.0
991	991	DECR2	3019	7	9.37994678374194	6.0
992	992	TNFAIP2	3018	7	9.37994678374194	6.0
993	993	P2RY13	3017	14	9.9349308620212	16.0
994	994	GALC	3016	7	9.37994678374194	6.0
995	995	LGALS3BP	3015	7	9.37994678374194	6.0
996	996	CCDC50	3014	7	9.37994678374194	6.0
997	997	OR4K13	3013	7	9.37994678374194	6.0
998	998	EFCC1	3012	7	9.37994678374194	6.0
999	999	WDR45B	3011	7	9.37994678374194	6.0
1000	1000	FCHO1	3010	7	7.222481914691642	9.0
1001	1001	AGFG1	823	9	8.599974702355468	16.0
1002	1002	MEF2BNB	3009	7	3.024708488728381	8.0
1003	1003	EXOC2	822	9	7.002337456655252	10.0
1004	1004	RRP7A	3008	2	8.409828356952357	6.0
1005	1005	EXOSC1	820	2	7.2325290532768385	16.0
1006	1006	IPO4	3007	2	10.292430582763778	6.0
1007	1007	MAK16	3006	33	7.496722740063703	0.0
1008	1008	RWDD4	3005	2	8.409828356952357	6.0
1009	1009	RPL36	3004	2	8.409828356952357	6.0
1010	1010	RPS16	3003	2	8.409828356952357	6.0
1011	1011	TM9SF4	3002	17	12.74098094794649	19.0
1012	1012	EXT1	818	17	11.252525377546318	22.0
1013	1013	EYA2	3001	17	8.179355838275644	17.0
1014	1014	EXT2	817	17	13.665615203969905	22.0
1015	1015	LTBR	3000	17	8.179355838275644	17.0
1016	1016	CDRT15L2	2999	1	35.52340876640361	53.0
1017	1017	FAM175A	814	1	40.367659538811324	71.0
1018	1018	EME1	2998	1	11.197678111445956	31.0
1019	1019	MAD2L2	2997	1	17.68436403501339	20.0
1020	1020	FANCB	812	1	34.988103536005326	55.0
1021	1021	AGT	2996	1	14.746373670214032	19.0
1022	1022	C1orf86	811	1	36.327614506856236	56.0
1023	1023	IL31RA	2995	1	9.697872267504469	15.0
1024	1024	FANCC	810	1	25.46204153854953	39.0
1025	1025	GHRH	2994	1	9.697872267504469	15.0
1026	1026	TPST2	2993	1	9.697872267504469	15.0
1027	1027	ETV3	2992	0	2.278907525452128	0.0
1028	1028	ERCC1	2991	1	11.676082576143504	18.0
1029	1029	PPME1	401	1	29.659571083087382	44.0
1030	1030	CCIN	2990	1	9.292092049246927	10.0
1031	1031	FANCE	808	1	24.211946478318115	31.0
1032	1032	ARF4	2989	1	9.292092049246927	10.0
1033	1033	CKS2	2988	1	40.917484700069465	58.0
1034	1034	REV1	2987	1	12.78024226040026	14.0
1035	1035	FANCG	807	1	25.739859976601178	40.0
1036	1036	PAAF1	2986	1	9.292092049246927	10.0
1037	1037	NSMCE1	2985	1	9.955766716187235	6.0
1038	1038	FANCI	806	1	20.100409228708322	23.0
1039	1039	GUCY2F	2984	1	9.955766716187235	6.0
1040	1040	SLC25A15	2983	1	9.955766716187235	6.0
1041	1041	TFB1M	2982	1	9.955766716187235	6.0
1042	1042	OCLN	2981	1	9.543875684211915	8.0
1043	1043	FANCL	804	1	19.502155377011743	22.0
1044	1044	BTBD2	2980	28	4.159841680272797	0.0
1045	1045	C19orf70	800	28	13.962404579309986	0.0
1046	1046	MFSD3	2979	23	1.5329868563251816	4.0
1047	1047	P2RX5	2978	28	4.159841680272797	0.0
1048	1048	DNMT1	2977	28	4.159841680272797	0.0
1049	1049	ENTHD2	2976	28	4.159841680272797	0.0
1050	1050	THBS3	2975	28	4.159841680272797	0.0
1051	1051	HPCAL1	2974	28	4.159841680272797	0.0
1052	1052	UQCR11	2973	28	4.159841680272797	0.0
