id	key	label	domain	nes	num_domains	FDR
1958	THAP4	2265	17	13.350360370019676	6.0	4.4631309559979836e-14
1959	MSANTD1	2264	17	12.960364944356376	14.0	1.0955571956107599e-13
1960	PIGH	424	17	12.185561052777077	18.0	6.522873365111691e-13
1961	SEC14L5	2263	17	12.960364944356376	14.0	1.0955571956107599e-13
1962	C16orf71	2262	17	12.960364944356376	14.0	1.0955571956107599e-13
1963	B3GAT3	2261	17	8.179355838275644	17.0	6.6167414021667525e-09
1964	TMEM136	2260	17	8.179355838275644	17.0	6.6167414021667525e-09
1965	RAVER1	2259	17	12.960364944356376	14.0	1.0955571956107599e-13
1966	LIMS1	2258	14	8.264034393693194	23.0	5.444595329861249e-09
1967	SLC35C1	2257	20	9.719260843229586	2.0	1.9087065188812105e-10
1968	LDOC1L	2256	17	13.151329239720846	9.0	7.057822960940869e-14
1969	PIGS	421	17	12.600195736975593	16.0	2.5107545767603593e-13
1970	SRCIN1	2255	17	13.151329239720846	9.0	7.057822960940869e-14
1971	SLC36A2	2254	17	13.151329239720846	9.0	7.057822960940869e-14
1972	PISD	2253	17	13.151329239720846	9.0	7.057822960940869e-14
1973	CLDN9	2252	31	4.030367267303532	0.0	9.324654146416832e-05
1974	FAM83E	2251	17	13.151329239720846	9.0	7.057822960940869e-14
1975	TOR1AIP2	2250	17	13.151329239720846	9.0	7.057822960940869e-14
1976	TTC32	2249	17	13.151329239720846	9.0	7.057822960940869e-14
1977	SIK2	2248	20	8.527470383025657	2.0	2.9684491717438943e-09
1978	ARID3B	2247	17	12.8677087151007	14.0	1.3560986539770228e-13
1979	PIGB	426	17	11.953244954832078	18.0	1.1136662159874747e-12
1980	BMPR1A	2246	14	8.264034393693194	23.0	5.444595329861249e-09
1981	GPC4	2245	17	12.600195736975593	16.0	2.5107545767603593e-13
1982	PIGV	419	17	11.953244954832078	18.0	1.1136662159874747e-12
1983	PIGN	2244	17	12.8677087151007	14.0	1.3560986539770228e-13
1984	EFNA5	2243	17	12.600195736975593	16.0	2.5107545767603593e-13
1985	PIGT	420	17	11.953244954832078	18.0	1.1136662159874747e-12
1986	ACVR2A	2242	17	12.600195736975593	16.0	2.5107545767603593e-13
1987	PIGK	2241	17	12.600195736975593	16.0	2.5107545767603593e-13
1988	PIGF	2240	17	12.600195736975593	16.0	2.5107545767603593e-13
1989	OR2W1	2239	31	3.746103335221564	0.0	0.00017943066420502053
1990	PIK3CA	417	31	3.746103335221564	0.0	0.00017943066420502053
1991	CYorf17	2238	31	3.746103335221564	0.0	0.00017943066420502053
1992	TSPYL1	2237	31	4.183701093622033	0.0	6.550868873243847e-05
1993	MYNN	2236	31	3.746103335221564	0.0	0.00017943066420502053
1994	TLL2	2235	31	4.708370120572731	0.0	1.957175990407742e-05
1995	MMD	416	31	3.746103335221564	0.0	0.00017943066420502053
1996	C12orf61	2234	31	4.708370120572731	0.0	1.957175990407742e-05
1997	UBE3C	2233	0	0.5714210768606828	0.0	0.2682742090639399
1998	OTUD6B	2232	0	-0.0	0.0	1.0
1999	ZNF284	2231	31	4.708370120572731	0.0	1.957175990407742e-05
2000	XXYLT1	2230	31	4.708370120572731	0.0	1.957175990407742e-05
2001	ZNF330	2229	0	2.8014370244020608	0.0	0.0015796576520323386
2002	TRIO	2228	31	4.183701093622033	0.0	6.550868873243847e-05
2003	AC093802.1	2227	31	4.708370120572731	0.0	1.957175990407742e-05
2004	EBF3	2226	31	4.708370120572731	0.0	1.957175990407742e-05
2005	CREB3L2	2225	31	4.708370120572731	0.0	1.957175990407742e-05
2006	OSR1	2224	32	3.3844061560764622	0.0	0.0004126613968516149
2007	LILRA2	2223	31	4.778639502677244	0.0	1.6647939821182054e-05
2008	AKT2	415	31	3.746103335221564	0.0	0.00017943066420502053
2009	PHF20L1	2222	0	2.8014370244020608	0.0	0.0015796576520323386
2010	ESX1	2221	31	4.778639502677244	0.0	1.6647939821182054e-05
2011	NDST2	2220	31	4.778639502677244	0.0	1.6647939821182054e-05
2012	SIGLEC14	2219	0	1.137630567122591	0.0	0.07283991542784794
2013	OR10J1	2218	31	4.778639502677244	0.0	1.6647939821182054e-05
2014	FAM120A	2217	21	1.6847789045141186	1.0	0.020664318903020343
2015	RAPGEF6	2216	14	8.264034393693194	23.0	5.444595329861249e-09
2016	DEFB1	2215	31	4.778639502677244	0.0	1.6647939821182054e-05
2017	TRMT1	2214	31	4.778639502677244	0.0	1.6647939821182054e-05
2018	ZFY	2213	31	4.183701093622033	0.0	6.550868873243847e-05
2019	G3BP2	2212	20	9.26861711204952	2.0	5.387445476813997e-10
2020	AMELY	2211	31	4.030367267303532	0.0	9.324654146416832e-05
2021	PIK3CB	414	31	3.746103335221564	0.0	0.00017943066420502053
2022	KDM5D	2210	31	3.746103335221564	0.0	0.00017943066420502053
2023	MAPKAPK2	2209	31	4.030367267303532	0.0	9.324654146416832e-05
2024	PIM3	2208	31	4.030367267303532	0.0	9.324654146416832e-05
2025	CCND2	2207	0	0.0	1.0	1.0
2026	MERTK	2206	31	4.015753207745222	0.0	9.64376884914947e-05
2027	GAB2	2205	31	4.030367267303532	0.0	9.324654146416832e-05
2028	LPGAT1	2204	11	4.90582693002784	10.0	1.2421472149956238e-05
2029	PITPNB	413	11	4.646362124822103	14.0	2.2575525854487487e-05
2030	PDZD8	2203	11	5.659056891666069	9.0	2.1925177013179113e-06
2031	AGPAT2	412	11	5.333765611622481	15.0	4.636971091681615e-06
2032	SEPT2	2202	11	4.783158973398101	15.0	1.6475591924573847e-05
2033	WDR11	52	14	4.953265887739479	24.0	1.113612538791627e-05
2034	LRRC41	2201	11	4.753192201243918	11.0	1.7652564164061045e-05
2035	PARD6B	2200	13	5.410556595524318	14.0	3.8854686077821075e-06
2036	WSB1	2199	0	0.3789272053302464	0.0	0.41790040753834656
2037	IARS	2198	38	2.413723521501236	0.0	0.00385723837204155
2038	PPCS	404	38	2.4924943601201286	0.0	0.0032174043146126286
2039	PDCD6IP	2197	0	4.027815538961327	0.0	9.379603090039247e-05
2040	ACACA	2196	40	1.9407065744338845	0.0	0.011462871542699545
2041	RERGL	2195	38	2.413723521501236	0.0	0.00385723837204155
2042	ARL6	2194	38	2.413723521501236	0.0	0.00385723837204155
2043	C9orf72	2193	0	-0.0	0.0	1.0
2044	FABP1	2192	0	-0.0	0.0	1.0
2045	PPCDC	403	38	2.3277408256078918	0.0	0.004701746115151058
2046	CCDC125	2191	0	-0.0	0.0	1.0
2047	PLA2G1B	2190	0	-0.0	0.0	1.0
2048	PYCR2	2189	0	-0.0	0.0	1.0
2049	NPR1	2188	0	-0.0	0.0	1.0
